Industry
2397
2331
1822
1240
910
742
674
616
613
605
583
567
446
443
433
422
396
301
296
270
248
232
213
194
159
142
137
131
123
120
114
110
108
106
104
99
91
89
73
73
70
69
68
68
65
62
62
58
54
50
46
44
44
43
36
36
36
36
36
36
36
